City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Kulhudhuffushi,MV,6.6221,73.07,81.1,81,99,12.73,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,77.29,79,100,2.98,overcast clouds
97,Cherskiy,RU,68.75,161.3,12.6,95,100,9.4,light snow
98,Vitim,RU,59.4511,112.5578,31.71,92,99,7.43,overcast clouds
99,Kodiak,US,57.79,-152.4072,42.31,75,100,10.36,light rain
100,Sibolga,ID,1.7427,98.7792,76.53,84,100,2.93,overcast clouds
101,Fairbanks,US,64.8378,-147.7164,34.61,93,100,4.61,light snow
102,Mahebourg,MU,-20.4081,57.7,71.89,83,40,8.05,scattered clouds
103,Kapit,MY,2.0167,112.9333,76.26,95,100,0.25,overcast clouds
104,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,76,74,15.01,broken clouds
105,Raudeberg,NO,61.9875,5.1352,46.87,10,100,14.03,overcast clouds
106,Tromso,NO,69.6496,18.957,39.22,70,98,31.07,light intensity drizzle
107,Tiksi,RU,71.6872,128.8694,16.9,94,100,5.44,overcast clouds
108,Provideniya,RU,64.3833,-173.3,32.5,94,100,8.12,light snow
109,Ostrovnoy,RU,68.0531,39.5131,37.11,94,100,22.21,overcast clouds
110,Chicama,PE,-7.8447,-79.1469,59.54,80,81,6.31,broken clouds
111,Erenhot,CN,43.6475,111.9767,38.46,45,0,6.96,clear sky
112,Namibe,AO,-15.1961,12.1522,67.75,86,28,5.91,scattered clouds
113,Beringovskiy,RU,63.05,179.3167,27.73,79,98,8.37,overcast clouds
114,Jamestown,US,42.097,-79.2353,62.24,50,0,8.05,clear sky
115,Xihe,CN,31.6864,113.4659,64.4,49,2,5.5,clear sky
116,Te Anau,NZ,-45.4167,167.7167,57.72,62,58,9.55,broken clouds
117,Kibaya,TZ,-5.3,36.5667,61.02,78,64,7.63,broken clouds
118,Acarau,BR,-2.8856,-40.12,79.2,79,42,16.33,scattered clouds
119,Zhangye,CN,38.9342,100.4517,45.37,35,27,1.7,scattered clouds
120,Kavieng,PG,-2.5744,150.7967,84.22,60,61,3.09,broken clouds
121,Sladkovo,RU,55.5284,70.3385,30.11,77,100,15.59,overcast clouds
122,Port Macquarie,AU,-31.4333,152.9167,68.9,83,100,9.8,overcast clouds
123,Kutum,SD,14.2,24.6667,70.39,24,16,5.79,few clouds
124,Kyshtovka,RU,56.555,76.6271,31.68,89,100,18.57,light snow
125,Draguignan,FR,43.5333,6.4667,66.58,93,43,0.0,scattered clouds
126,Lakshettipet,IN,18.8667,79.2167,65.79,77,2,3.11,clear sky
127,Sitka,US,57.0531,-135.33,48.09,71,75,0.0,broken clouds
128,Saskylakh,RU,71.9167,114.0833,9.25,97,55,7.85,broken clouds
129,Hay River,CA,60.8156,-115.7999,30.18,64,75,4.61,broken clouds
130,Alta Floresta,BR,-9.8756,-56.0861,71.19,89,96,2.62,overcast clouds
131,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,11.14,light snow
132,Pyaozerskiy,RU,65.8333,31.1667,37.31,78,100,13.15,overcast clouds
133,Acapulco,MX,16.8634,-99.8901,84.02,70,40,4.61,scattered clouds
134,Rockport,US,28.0206,-97.0544,80.65,96,0,13.8,clear sky
135,Necochea,AR,-38.5473,-58.7368,39.88,82,0,8.68,clear sky
136,Prince George,CA,53.9166,-122.753,42.26,84,75,2.3,broken clouds
137,Sanguem,IN,15.2333,74.1667,78.28,71,21,5.44,few clouds
138,Tonj,SS,7.2737,28.6822,72.55,91,99,3.42,overcast clouds
139,Guayaramerin,BO,-10.8368,-65.3614,72.45,98,100,1.19,overcast clouds
140,Nikolskoye,RU,59.7035,30.7861,40.78,94,23,5.77,few clouds
141,Nome,US,64.5011,-165.4064,39.27,76,75,10.36,broken clouds
142,Sinnamary,GF,5.3833,-52.95,80.92,84,40,11.81,scattered clouds
143,Leningradskiy,RU,69.3833,178.4167,27.59,97,100,6.78,light snow
144,Stornoway,GB,58.2093,-6.3865,53.92,95,100,11.5,overcast clouds
145,Qaanaaq,GL,77.484,-69.3632,21.18,92,100,4.7,light snow
146,Hobart,AU,-42.8794,147.3294,55.9,67,75,18.41,moderate rain
147,Talcahuano,CL,-36.7167,-73.1167,53.28,82,40,10.36,scattered clouds
148,Jardim,BR,-21.4803,-56.1381,68.85,81,0,4.68,clear sky
149,Tabou,CI,4.423,-7.3528,76.78,88,74,8.43,broken clouds
150,Dikson,RU,73.5069,80.5464,24.91,92,100,14.56,light snow
151,Lock Haven,US,41.137,-77.4469,58.89,71,1,2.48,clear sky
152,Muisne,EC,0.6,-80.0333,74.88,80,81,5.99,broken clouds
153,Gurlan,UZ,41.8447,60.3919,41.07,55,94,7.34,overcast clouds
154,Bhadasar,IN,28.2833,74.3167,73.27,29,0,5.79,clear sky
155,Paramonga,PE,-10.6667,-77.8333,61.99,84,82,8.86,broken clouds
156,Mamallapuram,IN,12.6264,80.1722,80.65,82,100,12.84,overcast clouds
157,Loum,CM,4.7182,9.7351,71.56,98,91,2.04,light rain
158,Esfarayen,IR,37.0765,57.5101,53.26,77,63,3.76,broken clouds
159,Sur,OM,22.5667,59.5289,76.68,60,0,6.62,clear sky
160,Ilulissat,GL,69.2167,-51.1,37.42,60,75,20.71,broken clouds
161,Nizhniy Odes,RU,63.6445,54.856,29.12,79,73,9.46,broken clouds
162,Puerto El Triunfo,SV,13.2833,-88.55,88.72,87,54,1.54,broken clouds
163,Warmbad,NA,-28.45,18.7333,76.12,35,5,8.57,clear sky
164,Tual,ID,-5.6667,132.75,83.25,76,100,6.4,overcast clouds
165,Marsh Harbour,BS,26.5412,-77.0636,78.55,66,2,13.85,clear sky
166,Duncan,US,34.5023,-97.9578,91.62,31,0,16.11,clear sky
167,Rorvik,NO,64.8621,11.2373,39.31,81,75,2.3,broken clouds
168,Hithadhoo,MV,-0.6,73.0833,81.43,72,68,6.26,broken clouds
169,Garissa,KE,-0.4536,39.6401,75.27,79,17,12.97,few clouds
170,Neiafu,TO,-18.65,-173.9833,79.48,89,75,6.91,broken clouds
171,Padang,ID,-0.9492,100.3543,75.25,86,95,2.06,heavy intensity rain
172,Lata,PT,40.1629,-8.3327,61.92,90,100,9.91,overcast clouds
173,Ekhabi,RU,53.5102,142.9671,34.63,60,85,4.63,overcast clouds
174,Buraydah,SA,26.326,43.975,73.85,17,0,10.09,clear sky
175,Vicuna,CL,-30.0319,-70.7081,74.77,48,0,1.16,clear sky
176,Tezu,IN,27.9167,96.1667,72.21,49,66,3.33,broken clouds
177,Labuhan,ID,-6.8844,112.2051,82.96,73,62,4.74,broken clouds
178,Williams Lake,CA,52.1415,-122.1445,44.06,70,75,12.66,broken clouds
179,Mar Del Plata,AR,-38.0023,-57.5575,51.1,67,75,6.91,broken clouds
180,Troitskoye,RU,52.9821,84.6757,60.35,37,100,25.39,overcast clouds
181,Oranjemund,NA,-28.55,16.4333,57.11,93,2,3.42,clear sky
182,Sarahan,IN,31.5167,77.8,45.82,48,0,6.82,clear sky
183,Asyut,EG,27.181,31.1837,66.38,48,0,7.38,clear sky
184,Bonito,BR,-21.1211,-56.4819,67.42,79,1,5.44,clear sky
185,Kirkwall,GB,58.9848,-2.9587,53.65,100,100,8.05,overcast clouds
186,Chuy,UY,-33.6971,-53.4616,57.2,97,86,5.53,overcast clouds
187,Mandan,US,46.8267,-100.8896,53.58,59,0,11.5,clear sky
188,Luderitz,NA,-26.6481,15.1594,58.87,81,2,15.73,clear sky
189,Longyearbyen,SJ,78.2186,15.6401,19.24,68,40,2.3,scattered clouds
190,Tigao,PH,9.2089,126.1761,82.22,78,100,6.15,heavy intensity rain
191,Vila Velha,BR,-20.3297,-40.2925,76.95,85,20,14.97,few clouds
192,Taltal,CL,-25.4,-70.4833,61.0,72,23,4.29,few clouds
193,Ankara,TR,39.9199,32.8543,44.2,71,0,2.3,clear sky
194,Nova Odessa,BR,-22.7775,-47.2958,67.21,70,12,12.48,few clouds
195,Damavand,IR,35.7178,52.065,52.18,53,26,1.32,scattered clouds
196,Port Lincoln,AU,-34.7333,135.8667,59.23,84,100,20.67,light rain
197,Teahupoo,PF,-17.8333,-149.2667,72.23,78,27,9.93,scattered clouds
198,East London,ZA,-33.0153,27.9116,64.62,80,97,13.38,overcast clouds
199,Kamenka,RU,51.3223,42.7678,37.72,79,100,5.19,overcast clouds
200,Akdepe,TM,42.0551,59.3788,41.09,69,87,7.74,overcast clouds
201,Cepelare,BG,41.7333,24.6833,34.99,53,6,4.12,clear sky
202,Vaini,TO,-21.2,-175.2,73.56,83,75,17.27,light intensity drizzle
203,Dalby,AU,-27.1833,151.2667,71.4,64,98,11.05,overcast clouds
204,Suamico,US,44.6319,-88.0393,66.49,66,0,9.22,clear sky
205,Khatanga,RU,71.9667,102.5,27.16,87,100,16.22,light snow
206,Asfi,MA,32.2994,-9.2372,68.79,81,100,4.68,overcast clouds
207,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,9.22,scattered clouds
208,Port Hardy,CA,50.6996,-127.4199,50.18,71,40,11.5,scattered clouds
209,Yerbogachen,RU,61.2767,108.0108,31.44,87,100,12.01,overcast clouds
210,Inongo,CD,-1.95,18.2667,71.91,92,73,2.62,broken clouds
211,Yabrud,SY,33.9674,36.6574,52.88,77,0,2.93,clear sky
212,Champerico,GT,14.3,-91.9167,81.61,77,37,6.73,scattered clouds
213,Porto Belo,BR,-27.1578,-48.5531,69.75,81,40,11.21,scattered clouds
214,Stavern,NO,59.0,10.0333,36.32,82,83,2.24,broken clouds
215,Sadao,TH,6.6388,100.4234,77.56,94,98,2.51,overcast clouds
216,La Libertad,EC,-2.2333,-80.9,69.46,88,100,8.05,overcast clouds
217,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,20,6.91,few clouds
218,Hambantota,LK,6.1241,81.1185,76.98,86,99,11.16,moderate rain
219,Sao Filipe,CV,14.8961,-24.4956,79.11,72,36,4.45,scattered clouds
220,Tilichiki,RU,60.4667,166.1,15.31,85,70,6.51,broken clouds
221,Am Timan,TD,11.0297,20.2827,74.28,51,11,5.64,few clouds
222,Vanimo,PG,-2.6741,141.3028,84.56,70,48,2.19,scattered clouds
223,Cap-Aux-Meules,CA,47.3821,-61.8597,57.22,58,0,13.8,clear sky
224,Lavrentiya,RU,65.5833,-171.0,33.13,99,97,5.86,light snow
225,Chapais,CA,49.7834,-74.8492,49.78,87,56,4.79,broken clouds
226,Sambava,MG,-14.2667,50.1667,70.57,85,67,6.15,broken clouds
227,Saint-Augustin,CA,51.226,-58.6502,47.89,86,63,16.64,broken clouds
228,Cabinda,AO,-5.55,12.2,76.68,90,59,8.41,broken clouds
229,Narayanpet,IN,16.7333,77.5,65.43,78,10,8.39,clear sky
230,Yelovo,RU,57.0538,54.9207,26.64,87,63,6.55,broken clouds
231,Kattivakkam,IN,13.2167,80.3167,80.69,80,100,12.77,overcast clouds
232,Talara,PE,-4.5772,-81.2719,66.96,72,0,17.27,clear sky
233,Gilbues,BR,-9.8317,-45.3439,85.06,38,86,3.8,overcast clouds
234,Dalaba,GN,10.7,-12.25,61.56,93,91,2.62,light rain
235,Yellowknife,CA,62.456,-114.3525,28.92,59,40,6.91,scattered clouds
236,Norman Wells,CA,65.282,-126.8329,24.84,86,100,0.0,light snow
237,Iqaluit,CA,63.7506,-68.5145,31.73,100,75,9.22,broken clouds
238,Egvekinot,RU,66.3167,-179.1667,20.75,94,98,4.32,overcast clouds
239,Tashtyp,RU,52.7939,89.8983,41.0,67,100,3.62,overcast clouds
240,Mantua,IT,45.1667,10.7833,63.64,87,25,5.01,scattered clouds
241,Clyde River,CA,70.4692,-68.5914,23.23,93,100,10.36,overcast clouds
242,Aklavik,CA,68.2191,-135.0107,15.8,92,75,2.3,light snow
243,Nanortalik,GL,60.1432,-45.2371,38.34,81,100,6.71,overcast clouds
244,Kavaratti,IN,10.5669,72.642,81.55,74,35,5.26,scattered clouds
245,Newcastleton,GB,55.1796,-2.8127,55.04,96,93,3.11,overcast clouds
246,Washington,US,47.5001,-120.5015,55.8,32,9,7.63,clear sky
247,Pimentel,PE,-6.8367,-79.9342,64.69,72,0,20.71,clear sky
248,General Pico,AR,-35.6566,-63.7568,54.68,30,0,9.15,clear sky
249,Itoman,JP,26.1247,127.6694,79.18,96,75,18.41,broken clouds
250,Bud,US,39.447,-86.1758,73.24,63,71,8.77,broken clouds
251,Florencia,IT,43.7667,11.25,71.24,86,40,10.0,scattered clouds
252,Cayenne,GF,4.9333,-52.3333,82.44,83,0,4.61,clear sky
253,Kushmurun,KZ,52.4503,64.6311,26.44,87,70,12.17,broken clouds
254,Biak,ID,-0.9131,122.8766,82.02,68,99,1.05,overcast clouds
255,Sechura,PE,-5.5569,-80.8222,65.48,77,88,16.82,overcast clouds
256,Bonnyville,CA,54.2668,-110.735,42.6,67,95,4.79,overcast clouds
257,Marawi,PH,7.9986,124.2928,72.84,89,100,1.34,overcast clouds
258,Irbil,IQ,36.1926,44.0106,66.88,58,13,5.1,few clouds
259,Falun,SE,60.6036,15.626,32.41,96,11,3.53,few clouds
260,Djambala,CG,-2.5447,14.7533,68.72,93,100,1.36,overcast clouds
261,Belgrade,RS,44.804,20.4651,57.33,93,40,10.36,scattered clouds
262,Meadow Lake,US,34.8014,-106.5436,74.48,32,96,23.51,overcast clouds
263,Taunggyi,MM,20.7833,97.0333,58.28,89,29,2.73,scattered clouds
264,Dingle,PH,10.9995,122.6711,81.23,83,100,5.26,overcast clouds
265,Mynay,UA,48.5833,22.2833,53.47,92,99,2.89,overcast clouds
266,Shizukuishi,JP,39.6833,140.9833,50.77,72,24,3.04,few clouds
267,Bom Jesus,BR,-9.0744,-44.3586,82.62,46,61,2.35,broken clouds
268,Olinda,BR,-8.0089,-34.8553,80.33,65,40,8.05,scattered clouds
269,Palana,RU,59.1167,159.9667,24.64,70,97,3.8,overcast clouds
270,Kushiro,JP,42.975,144.3747,54.55,62,20,2.3,few clouds
271,Christchurch,NZ,-43.5333,172.6333,76.48,49,16,9.22,few clouds
272,Pacific Grove,US,36.6177,-121.9166,67.42,70,0,20.0,clear sky
273,Puerto Leguizamo,CO,-0.1934,-74.7819,75.49,94,99,1.59,light rain
274,Kondinskoye,RU,59.6481,67.41,29.05,83,14,12.93,few clouds
275,Hamilton,US,39.1834,-84.5333,71.55,57,0,4.61,clear sky
276,Rio Grande,BR,-32.035,-52.0986,66.31,91,45,5.32,scattered clouds
277,Nyurba,RU,63.2842,118.3319,21.97,96,90,4.32,overcast clouds
278,Tura,IN,25.5198,90.2201,71.1,63,83,4.9,broken clouds
279,Labrea,BR,-7.2586,-64.7981,77.41,81,100,2.39,overcast clouds
280,Balurghat,IN,25.2167,88.7667,68.36,72,40,7.23,scattered clouds
281,Grindavik,IS,63.8424,-22.4338,39.67,100,100,4.61,light intensity drizzle
282,Coruripe,BR,-10.1256,-36.1756,76.03,83,53,11.61,broken clouds
283,Tampere,FI,61.4991,23.7871,43.83,93,100,8.05,overcast clouds
284,Ust-Tsilma,RU,65.441,52.1498,31.84,70,100,10.09,overcast clouds
285,Awjilah,LY,29.1081,21.2869,65.16,53,0,7.83,clear sky
286,Coolum Beach,AU,-26.5333,153.1,68.34,99,100,20.49,light rain
287,Avera,US,33.194,-82.5271,57.54,40,1,5.3,clear sky
288,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,60,0,6.71,clear sky
289,Podor,MR,16.6527,-14.9587,87.64,40,2,14.0,clear sky
290,Ambilobe,MG,-13.2,49.05,68.18,85,8,3.09,clear sky
291,Condega,NI,13.365,-86.3985,70.88,94,84,3.71,broken clouds
292,Ginda,IN,30.6945,78.4932,49.71,46,0,6.67,clear sky
293,Tithorea,GR,38.5846,22.6675,59.76,41,0,3.31,clear sky
294,Waipawa,NZ,-41.4122,175.5153,64.67,39,4,7.49,clear sky
295,Marienburg,PL,54.0359,19.0266,55.85,88,96,12.35,overcast clouds
296,Belaya Gora,RU,68.5333,146.4167,1.8,90,87,6.67,overcast clouds
297,Moyale,KE,3.5167,39.0584,72.61,60,100,6.33,overcast clouds
298,Banda Aceh,ID,5.5577,95.3222,79.54,76,100,9.42,overcast clouds
299,Arrifes,PT,37.7667,-25.7,62.85,68,75,9.22,broken clouds
300,Taoudenni,ML,22.6783,-3.9836,83.91,14,65,10.49,broken clouds
301,Kanigoro,ID,-8.13,112.219,79.52,81,66,1.1,broken clouds
302,Husavik,IS,66.0449,-17.3389,28.71,74,62,12.77,broken clouds
303,Zhezkazgan,KZ,47.8043,67.7144,35.62,62,89,18.28,overcast clouds
304,Xuddur,SO,4.1213,43.8894,70.47,85,48,9.57,light rain
305,Saint Anthony,US,45.0205,-93.218,74.32,43,22,3.0,few clouds
306,Honiara,SB,-9.4333,159.95,85.21,69,100,4.23,heavy intensity rain
307,Phek,IN,25.6667,94.5,52.59,88,100,2.08,overcast clouds
308,Yulara,AU,-25.2406,130.9889,73.22,46,0,17.6,clear sky
309,Araouane,ML,18.9048,-3.5265,81.88,15,45,8.52,scattered clouds
310,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,21,0,0.0,clear sky
311,Preobrazheniye,RU,42.9019,133.9064,43.81,51,1,6.58,clear sky
312,Port Moresby,PG,-9.4431,147.1797,85.42,70,20,8.05,few clouds
313,Singkang,MY,2.1006,102.7994,74.68,95,100,4.03,overcast clouds
314,Grand Gaube,MU,-20.0064,57.6608,72.0,75,29,3.0,scattered clouds
315,Airai,TL,-8.9266,125.4092,72.03,61,48,0.65,scattered clouds
316,Shitkino,RU,56.3703,98.3543,37.33,87,100,4.38,overcast clouds
317,Panama City,PA,8.9936,-79.5197,78.3,89,40,2.3,scattered clouds
318,Kuliyapitiya,LK,7.4688,80.0401,74.88,92,100,2.37,overcast clouds
319,Rebrikha,RU,53.0733,82.3408,51.48,72,100,24.79,overcast clouds
320,Guerrero Negro,MX,27.9769,-114.0611,70.57,70,25,14.54,scattered clouds
321,Takoradi,GH,4.8845,-1.7554,77.23,88,75,4.41,light rain
322,Muyezerskiy,RU,63.9333,31.65,39.38,86,100,14.74,overcast clouds
323,Ossora,RU,59.2353,163.0719,29.44,68,100,5.28,overcast clouds
324,Cabo San Lucas,MX,22.8909,-109.9124,84.18,76,91,11.86,overcast clouds
325,Damghan,IR,36.1683,54.348,58.46,69,10,2.06,clear sky
326,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,14.97,light rain
327,Poum,NC,-20.2333,164.0167,75.24,88,100,28.41,light rain
328,Port Lavaca,US,28.615,-96.6261,78.31,69,19,14.61,few clouds
329,Boddam,GB,57.4667,-1.7833,53.98,91,87,14.63,overcast clouds
330,Fairview,US,40.8126,-73.999,59.43,64,67,5.01,broken clouds
331,Tuatapere,NZ,-46.1333,167.6833,62.94,51,46,7.99,scattered clouds
332,Macon,US,39.8667,-88.9668,73.45,49,0,20.71,clear sky
333,San Cristobal,VE,7.7669,-72.225,73.58,97,91,1.39,overcast clouds
334,Guiglo,CI,6.5456,-7.4966,71.26,99,94,2.48,moderate rain
335,Makakilo City,US,21.3469,-158.0858,84.43,61,40,12.66,scattered clouds
336,Starkville,US,33.4504,-88.8184,73.06,59,0,5.75,clear sky
337,Uberaba,BR,-19.7483,-47.9319,79.38,47,20,3.44,few clouds
338,Plettenberg Bay,ZA,-34.0527,23.3716,61.34,90,4,4.14,clear sky
339,Tapejara,BR,-28.0681,-52.0139,56.97,92,14,3.8,few clouds
340,Havelock,US,34.8791,-76.9013,69.78,73,0,10.36,clear sky
341,Maragogi,BR,-9.0122,-35.2225,75.87,85,31,8.48,scattered clouds
342,Naze,JP,28.3667,129.4833,74.32,88,95,11.52,overcast clouds
343,Muli,MV,2.9167,73.5667,81.32,74,67,16.53,broken clouds
344,Kamsack,CA,51.5667,-101.9009,45.28,56,92,10.56,overcast clouds
345,Akyab,MM,20.15,92.9,78.98,83,100,5.12,moderate rain
346,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,8.05,scattered clouds
347,Shelburne,CA,44.0787,-80.2041,60.6,63,25,11.5,scattered clouds
348,Heihe,CN,50.2441,127.4902,28.98,56,1,10.49,clear sky
349,Tevriz,RU,57.509,72.4042,29.95,82,100,8.32,overcast clouds
350,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,93,59,4.16,moderate rain
351,Yakeshi,CN,49.2833,120.7333,26.08,58,0,3.58,clear sky
352,Clinton,US,42.587,-82.9199,67.12,64,20,9.22,few clouds
