City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
132,Pyaozerskiy,RU,37.31,65.8333,31.1667,Taratuga
133,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
134,Rockport,US,80.65,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
135,Necochea,AR,39.88,-38.5473,-58.7368,dyd -mar Hotel
136,Prince George,CA,42.26,53.9166,-122.753,Canadas Best Value Inn Prince George
137,Sanguem,IN,78.28,15.2333,74.1667,Hotel
138,Tonj,SS,72.55,7.2737,28.6822,Lakan Hotel
139,Guayaramerin,BO,72.45,-10.8368,-65.3614,Hostal FÜNF
140,Nikolskoye,RU,40.78,59.7035,30.7861,Tourist House - Sablino
141,Nome,US,39.27,64.5011,-165.4064,Dredge 7 Inn
142,Sinnamary,GF,80.92,5.3833,-52.95,ALETHEIA Appartement Sinnamary
144,Stornoway,GB,53.92,58.2093,-6.3865,Caladh Inn
146,Hobart,AU,55.9,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
147,Talcahuano,CL,53.28,-36.7167,-73.1167,departamento comodo
148,Jardim,BR,68.85,-21.4803,-56.1381,Estancia Hotel - Jardim MS
149,Tabou,CI,76.78,4.423,-7.3528,hotêl doufoulougou
151,Lock Haven,US,58.89,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
152,Muisne,EC,74.88,0.6,-80.0333,Quinta Samay
153,Gurlan,UZ,41.07,41.8447,60.3919,ÒJIQ OVUL
154,Bhadasar,IN,73.27,28.2833,74.3167,OMPRAKASH JAKHAR
155,Paramonga,PE,61.99,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
156,Mamallapuram,IN,80.65,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
157,Loum,CM,71.56,4.7182,9.7351,hôtel Valeri
158,Esfarayen,IR,53.26,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
159,Sur,OM,76.68,22.5667,59.5289,Sur Plaza Hotel
160,Ilulissat,GL,37.42,69.2167,-51.1,Hotel Arctic
162,Puerto El Triunfo,SV,88.72,13.2833,-88.55,Hotel Jardin
164,Tual,ID,83.25,-5.6667,132.75,Grand Vilia Hotel
165,Marsh Harbour,BS,78.55,26.5412,-77.0636,Abaco Beach Resort
166,Duncan,US,91.62,34.5023,-97.9578,"Holiday Inn Express & Suites Duncan, an IHG Hotel"
167,Rorvik,NO,39.31,64.8621,11.2373,Kysthotellet Rørvik AS
168,Hithadhoo,MV,81.43,-0.6,73.0833,Scoop Guest House
169,Garissa,KE,75.27,-0.4536,39.6401,Sharif Plaza Hotel
170,Neiafu,TO,79.48,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
171,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
172,Lata,PT,61.92,40.1629,-8.3327,Casa Maquia
173,Ekhabi,RU,34.63,53.5102,142.9671,
174,Buraydah,SA,73.85,26.326,43.975,Mövenpick Qassim
175,Vicuna,CL,74.77,-30.0319,-70.7081,Los Mosaicos
176,Tezu,IN,72.21,27.9167,96.1667,Circuit House
177,Labuhan,ID,82.96,-6.8844,112.2051,DoubleFAG
178,Williams Lake,CA,44.06,52.1415,-122.1445,Stampeder Motel
179,Mar Del Plata,AR,51.1,-38.0023,-57.5575,Gran Hotel Mar del Plata
180,Troitskoye,RU,60.35,52.9821,84.6757,
182,Sarahan,IN,45.82,31.5167,77.8,Hotel Monal
183,Asyut,EG,66.38,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
184,Bonito,BR,67.42,-21.1211,-56.4819,Marruá Hotel
185,Kirkwall,GB,53.65,58.9848,-2.9587,Kirkwall Hotel
186,Chuy,UY,57.2,-33.6971,-53.4616,Nuevo Hotel Plaza
187,Mandan,US,53.58,46.8267,-100.8896,Twin City Estates
190,Tigao,PH,82.22,9.2089,126.1761,Lavilla Beach Resort & Videoke
191,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Vitória Palace
192,Taltal,CL,61.0,-25.4,-70.4833,Residencial Karime
193,Ankara,TR,44.2,39.9199,32.8543,Ramada by Wyndham Ankara
194,Nova Odessa,BR,67.21,-22.7775,-47.2958,Nohotel Nova Odessa
195,Damavand,IR,52.18,35.7178,52.065,آپارتمان زمانیان
196,Port Lincoln,AU,59.23,-34.7333,135.8667,Port Lincoln Hotel
197,Teahupoo,PF,72.23,-17.8333,-149.2667,Vanira Lodge
198,East London,ZA,64.62,-33.0153,27.9116,Tu Casa
199,Kamenka,RU,37.72,51.3223,42.7678,
200,Akdepe,TM,41.09,42.0551,59.3788,
201,Cepelare,BG,34.99,41.7333,24.6833,Rodopski Dom
202,Vaini,TO,73.56,-21.2,-175.2,Keleti Beach Resort
203,Dalby,AU,71.4,-27.1833,151.2667,Kobbers Motor Inn Dalby
204,Suamico,US,66.49,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
206,Asfi,MA,68.79,32.2994,-9.2372,Hôtel Abda
207,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
208,Port Hardy,CA,50.18,50.6996,-127.4199,Airport Inn-Port Hardy
